town,accountants_per_10000_residents_2013,apartments_condos_multis_per_residential_parcels_2011,architects_per_10000_2013,assessed_home_value_changes_2009-2013,barbers_per_10000_residents_2013,births_per_1000_residents_2010,boaters_per_10000_residents_2012,burglaries_per_10000_residents_2011,cars_motorcycles_&_trucks_average_age_2012,cars_per_1000_residents_2012,class_size_in_school_district_2011-2012,condos_as_perc_of_parcels_2012,construction_supervisors_per_10000_2013,crashes_per_1000_residents_2007-2011,culture_and_rec_spending_per_person_2012,dentists_per_10000_2013,doctors_per_10000_residents_2013,education_spending_as_a_percent_2012,education_spending_per_resident_2012,electricians_per_1000_residents_2013,expenditures_per_resident_2012,females_percent_in_community_2010,fire_dept_spending_as_a_percent_2012,firefighter_costs_per_resident_2012,fixed_costs_percent_2012,funeral_directors_per_10000_2013,gun_licenses_per_1000_residents_2012,historic_places_per_10000_2013,home_schooled_per_1000_students_2011-2012,homes_built_in_39_or_before,household_member_who_is_2_races_or_more_per_1000_households_2010,households_average_size_2010,households_one-person_2010,hybrid_cars_per_1000_vehicles_2013,in_home_since_1969_or_earlier,income_average_per_resident_2010,income_change_per_resident_2007-2010,inmates_in_state_prison_per_1000_residents,liquor_licenses_per_10000_2011,massage_therapists_per_10000_2012,median_age_2011,miles_driven_daily_per_household_05-07,minority_students_per_district_2012-2013,motorcycles_change_in_ownership_2000-2012,motorcycles_per_1000_2012,multi-generation_households_2010,police_costs_per_resident_2013,police_employees_per_10000_residents_2011,police_spending_as_a_percent_2012,population_change_1950-2010,population_change_2010-2011,property_crimes_per_10000_residents_2012,property_tax_change_09-13,pupils_per_cost_average_by_district_2011-2012,real_estate_professionals_per_1000_residents_2013,residential_taxes_as_percent_of_all_property_taxes_2013,saltwater_fishing_licenses_per_1000_2013,school_district_growth_09-13,single-person_households_percent_65_and_older,snowmobiles_per_10000_residents_2012,state_aid_as_a_percent_of_town_budget_2012,students_in_public_schools_2011,tax-exempt_property_2012,tax_bills_for_single-family_homes_2012,tax_bills_for_single-family_homes_2013,taxable_property_by_percent_2012,teacher_salaries_by_average_2011,teachers_percent_under_40_years_old_2011-2012,trucks_per_1000_residents_2012,veterinarians_per_10000_2013,violent_crimes_per_10000_residents_2012,voters_as_a_percent_of_population_2012,voters_change_in_registrations_between_1982-2012,2020_label
Abington,29.4,0.219,3.8,-0.149,8.1,12.1,137.6,63.5,9.9,435.7,24.3,0.129,3.1,144.2,35,4.4,9.4,50.1,1218,8.4,2315,51.1,4.59,106,18.4,1.9,51.2,1.3,7.5,26.9,5.8,2.61,25.1,14.0,8.1,29299 ,0.06,0.7,18.1,10,39.3,69.6,7.2,0.104,21.9,46.1,154,16.2,6.6,1.24,0.005,221,0.136,11855,10,85.5,25.1,-0.114,35.6,5.0,19.4,0.872,7.1,4600,4756,92.9,73887 ,0.32,354,1.3,25.3,10902,0.51,light blue
Acton,36.0,0.329,10.5,-0.004,1.8,8.2,69.8,10.4,8.5,486.8,22.5,0.273,1.8,68.1,88,14.1,24.6,67.2,2336,1.0,3474,50.9,3.3,115,7.5,1.8,35.5,3.2,3.4,9,7.3,2.66,23,33.1,3.1,55496 ,-0.06,0.3,14.6,18,40.8,76,39,-0.231,11.1,24.4,149,20.4,4.3,5.25,0.01,108,0.15,11669,10,87.2,12.2,-0.017,31.9,3.2,8.7,0.968,6.3,9259,9650,93.7,75741 ,0.31,280,6.4,10.3,14398,0.34,wicked blue
Acushnet,7.8,0.05,0.0,-0.188,7.8,8.0,287.3,41.7,10.9,476.4,23.2,0.0,3.9,57.3,25,1.0,0.0,62.1,1353,8.6,2120,50.9,1.79,38,11.1,0.0,89.0,1,6.4,19.9,6.1,2.62,22.2,8.1,11.3,25483 ,-0.01,0.5,16.5,9,41.6,67.4,1.5,0.194,40,47.8,145,16.4,6.8,1.34,0.001,135,0.109,11533,8,91.8,37.9,-0.052,47.1,3.9,26.8,0.921,4.9,3306,3380,95.1,57227 ,0.43,379,1.9,12.5,7478,0.44,red
Adams,5.9,0.209,1.2,-0.051,11.8,10.3,212.1,77.1,10,375.1,,0.006,3.5,55.5,59,2.4,7.1,38.4,538,6.1,1010,51.8,0.05,1,15.4,4.7,107.4,18.9,10.2,57.9,5.7,2.17,35,10.5,11.9,18626 ,-0.07,0.8,25.9,6,41.8,42.7,,-0.095,27,15.4,98,22.3,9.7,-0.29,-0.006,226,0.128,,6,82.7,5.4,,44.3,251.4,15.1,0.928,12,2472,2453,88.0,,,366,0.0,48.2,5980,-0.03,medium blue
Agawam,15.1,0.214,1.4,-0.107,8.1,9.6,246.1,19.3,9.7,487.5,19.2,0.144,4.9,98.7,40,5.6,8.4,46.5,1208,2.8,2581,52.2,4.67,121,17.9,2.5,,1.4,17.6,15.6,5.7,2.38,30,10.9,8.5,25179 ,-0.01,0.3,16.5,8,43.9,57.5,10.5,0.329,23.1,29.8,149,21.3,5.8,1.8,0.001,95,0.154,13398,8,76,13.0,-0.054,42.8,41.8,26.3,0.95,12,3150,3245,88.1,60647 ,0.36,328,2.1,11.8,21365,0.63,red
Alford,0.0,0.013,20.2,0.04,0.0,2.0,182.2,,11.3,491.9,,0.0,20.2,48.6,2,,81.0,46.5,1046,2.0,2250,53.8,2.14,48,4.0,0.0,8.1,20.2,0.0,27.4,0,2.22,27.8,19.6,13.3,36577 ,-0.07,0,,40,56.4,72.6,,0.455,32.4,22.4,64,,2.8,1.33,-0.006,,0.065,,6,97.9,0.0,,53.2,183.3,0.9,0.646,1.7,2946,2976,98.3,,,439,0.0,,372,0.49,wicked blue
Amesbury,12.9,0.362,6.1,-0.11,7.4,12.6,301.5,26.2,9.5,458.3,19.7,0.233,1.8,91.4,57,3.7,7.4,54.3,1636,4.4,2931,51.7,5.44,159,10.2,3.7,50.1,4.3,8.5,39.7,5.6,2.41,30,16.5,5.7,30355 ,0.0,0.9,15.4,20,40.5,70.8,8.6,-0.016,22.7,24.1,193,22.6,6.6,0.5,0.008,155,0.09,12377,8,83.3,29.0,-0.03,31.5,3.0,20.5,0.914,8.8,5855,5984,91.2,70341 ,0.24,329,6.1,26.6,11203,0.64,medium blue
Amherst,4.0,0.268,7.1,-0.1,2.1,4.1,35.7,47.4,9.8,253.2,19.8,0.155,1.3,36.6,77,4.5,16.9,55.4,917,0.2,1654,51.1,6.15,102,10.0,0.8,15.5,4.2,19.0,21.4,13.8,2.44,27.3,43.1,3.5,15486 ,-0.16,0.1,14.5,9,21.3,42.4,49,-0.161,4.8,15.2,110,12.4,6.7,2.48,-0.001,91,0.16,18388,3,89.8,3.4,-0.127,35.6,6.9,17.4,0.914,16.7,6293,6508,83.3,66484 ,0.27,107,2.9,20.7,22425,0.52,wicked blue
Andover,52.4,0.182,8.4,-0.053,3.3,6.9,75.9,15.5,8.4,464.8,20.9,0.138,0.9,118.7,133,17.2,22.6,54,1896,2.0,3456,51.7,5.68,196,5.5,0.9,33.0,15.4,5.4,25.1,6.3,2.68,22.3,25.7,5.9,69120 ,0.0,0.2,10.2,11,43.1,73.5,22.2,-0.196,10.4,25.1,192,20.1,5.6,1.67,0.008,86,0.129,13836,14,80.1,14.6,0.017,41.2,0.3,7.1,0.817,8.6,7786,7967,91.5,77136 ,0.29,285,7.5,6.8,23490,0.42,medium blue
Aquinnah,0.0,0.014,0.0,-0.02,32.2,12.9,1639.9,,14.7,787.8,,,96.5,64.3,596,,32.2,26.2,2555,0.0,8206,50.8,,103,,0.0,101.3,128.6,21.7,11.5,17.9,2.14,37.9,19.8,0,15778 ,0.25,0,64.3,,26.3,87.3,,0.692,70.7,20.7,,127.8,15.1,2.53,0.016,,0.214,,26,97.5,83.6,,27.3,0.0,0.1,0.957,,,5387,90.8,,,682,0.0,,398,0.6,wicked blue
Arlington,30.3,0.423,23.1,0.079,5.6,14.4,30.6,30.7,8.6,469.9,18.5,0.216,1.2,60.3,70,7.0,17.0,44,1015,2.8,1844,53.5,5.72,,11.3,2.1,22.8,14.7,12.0,54.5,6.7,2.24,34.1,29.8,8.4,43414 ,-0.05,0.3,9.3,20,41.7,39.8,23,-0.094,11.7,15.6,108,18.6,5.8,-0.03,0.01,120,0.232,12603,12,93.7,11.4,0.054,35.6,0.0,11.8,0.819,5.9,6565,6842,94.1,55373 ,0.5,199,4.2,11.7,30616,0.01,wicked blue
Ashburnham,13.2,0.028,0.0,-0.179,6.6,9.2,634.8,29.5,9.8,416,,0.006,6.6,68.9,25,1.6,4.9,54.1,1097,5.1,2027,49.2,4.05,82,8.4,0.0,113.6,4.9,17.5,25.5,6.9,2.75,16.9,17.3,4,29006 ,-0.02,0.3,11.5,12,38.9,95.8,,0.205,39.6,36.3,139,22.9,6.8,1.34,0.003,97,0.115,,9,95.2,28.6,,34,100.0,4.8,0.944,13.4,3757,3864,86.6,,,403,0.0,16.2,4266,1.03,light blue
Ashby,0.0,0.015,6.5,-0.201,9.8,6.2,188.7,64.4,10.7,430.4,,0.0,9.8,60.8,27,,0.0,55.6,953,6.8,1695,49.7,2.79,47,9.5,0.0,134.9,0,39.6,25.1,7.6,2.78,15.5,19.1,7.7,26675 ,-0.07,1.3,9.8,13,43.1,96.1,,0.017,39.4,36.2,209,,12.3,1.1,0.01,102,0.167,,8,93.7,25.7,,27.5,112.7,7.7,0.919,6.5,3486,3685,93.5,,,450,9.8,6.4,2375,0.81,red
Ashfield,17.3,0.061,11.5,-0.023,11.5,5.2,213.0,5.7,11.1,495.7,,0.0,11.5,43.8,45,,0.0,61,1261,3.5,1965,50.9,1.54,30,3.7,0.0,167.6,5.8,85.7,43.5,6.8,2.28,27.1,23.2,9.8,23826 ,0.06,0,23,40,46.2,74.7,,0.222,44.3,23.7,56,5.7,2.8,0.78,0.003,57,0.136,,2,92.5,18.4,,36.9,476.5,6.3,0.824,7.4,3483,3589,92.6,,,401,5.8,5.7,1359,0.55,wicked blue
Ashland,57.9,0.348,6.6,-0.098,5.4,14.6,116.3,31.6,9,467.4,19.6,0.279,1.8,76.7,21,9.6,4.2,54.2,1441,3.5,2659,51.4,4.63,123,16.7,2.4,39.8,1.8,5.6,9.7,7.7,2.59,22.9,19.9,5.5,41094 ,-0.05,0.5,16.3,9,40.9,71.9,21.8,0.103,19.3,25.5,160,19.8,6,3.74,0.01,85,0.115,12183,9,90.7,17.5,-0.022,35.2,9.5,11.2,0.918,4.9,5958,6125,95.1,69830 ,0.4,325,7.8,8.3,10735,1.02,medium blue
Athol,1.7,0.136,0.0,-0.24,3.5,11.4,226.2,76.6,10.8,418.1,,0.02,2.6,78.1,43,3.5,14.7,23.1,317,2.8,1341,50.8,11.07,148,22.0,8.6,105.9,2.6,21.4,48.2,6.3,2.46,28.4,17.0,7.7,17345 ,-0.04,2.8,19.9,9,38.2,64.8,,0.136,28.8,36.7,127,18.0,9.5,0.0,0.003,222,0.026,,5,86.9,21.7,,39.6,82.6,12,0.979,8,2161,2069,92.0,,,315,0.9,39.2,6661,0.15,red
Attleboro,11.2,0.229,0.7,-0.176,5.0,12.0,106.2,57.1,10.1,462,20.4,0.086,1.8,121.9,57,4.4,30.7,55.4,1163,4.1,2095,51.2,6.48,136,5.1,0.9,42.3,2.3,12.2,29.2,9,2.55,26.4,11.8,6,26131 ,-0.02,0.8,12.6,6,38.4,65.2,26.2,0.034,23.2,41.0,143,19.6,6.8,0.83,0.001,,0.133,11529,6,80.6,23.5,-0.006,37,2.7,31.2,0.903,9.7,3341,3456,90.3,,0.35,310,1.6,32.2,27280,0.8,light blue
Auburn,13.0,0.12,1.9,-0.146,13.0,9.9,198.3,42.5,9,468.9,19.3,0.063,2.5,187.7,49,7.4,29.7,54.5,1352,5.4,2440,51.8,5.49,134,5.8,2.5,70.2,1.9,8.3,21.2,4.8,2.45,27.9,13.9,13.1,28712 ,0.01,1,16.7,13,44.1,63.6,11.5,0.012,20.4,35.0,209,27.6,8.6,0.83,0.003,361,0.211,12211,8,70.4,23.6,-0.01,48.1,41.2,16.1,0.937,6.1,3547,3653,93.9,61146 ,0.4,354,3.1,29.3,11784,0.31,light blue
Avon,9.2,0.111,2.3,-0.104,29.8,9.9,140.0,77.5,10.7,454.8,16.2,0.02,6.9,219.9,85,2.3,2.3,34.7,1454,8.7,3450,51.6,6.67,230,19.4,0.0,55.6,0,1.6,34.1,7.9,2.55,26.6,13.1,13.8,28123 ,0.03,2.1,29.8,21,43.6,59.4,39.9,-0.008,26.9,48.0,353,43.3,10.2,0.63,0.007,350,0.232,12656,6,53.1,23.0,-0.004,49.6,2.3,11.3,0.922,5.9,3611,3888,94.1,60160 ,0.45,426,0.0,20.3,3065,0.05,light blue
Ayer,14.8,0.347,2.7,-0.075,13.5,14.7,103.7,118.7,9.8,477.6,,0.156,4.0,78.6,78,1.3,52.5,47.3,1243,3.9,2484,49.7,6.37,158,14.2,5.4,55.6,5.4,11.0,26.1,12.1,2.3,33.6,18.4,2.1,26154 ,0.01,1.1,20.2,19,40.4,63.7,,-0.371,24,29.5,209,29.4,8.4,0.29,0.01,226,0.187,,6,64.1,21.9,,33.7,8.0,3.8,0.957,10.3,3558,3649,89.8,75201 ,,350,2.7,37,4961,0.77,medium blue
Barnstable,13.1,0.09,3.3,,6.0,8.9,1003.7,79.7,10.7,492.7,17.2,0.061,7.3,46.3,65,12.4,60.4,50.9,1347,3.4,2445,51.8,,,12.1,3.5,65.2,18.8,10.0,13,10.2,2.33,29,22.0,4.7,29719 ,-0.06,1.6,29.9,24,47,56.3,20.6,0.123,20.8,28.5,218,27.9,8.9,3.31,-0.001,281,,13564,22,88.2,50.3,0.135,45.6,0.7,8.2,0.907,9.3,,,90.7,68127 ,0.21,418,3.8,62.1,32923,0.56,light blue
Barre,1.9,0.098,1.9,-0.197,7.4,8.3,264.9,64.6,10.8,413.3,,0.001,9.3,68.5,32,1.9,18.5,52,826,6.3,1527,49.5,2.1,32,7.9,0.0,156.2,3.7,19.2,34.8,4.6,2.61,24.1,16.8,10,22782 ,-0.04,0.7,40.8,11,42.9,87.7,,0.215,35.6,35.1,84,20.3,5.5,0.58,0.003,146,0.153,,5,87.2,31.3,,45.1,223.4,8.6,0.97,15.5,2725,2847,84.5,,,388,3.7,23.8,3518,0.46,red
Becket,0.0,0.005,0.0,-0.013,5.6,12.9,702.6,265.8,11.4,470.5,,0.0,16.9,208.5,36,,0.0,48,1296,2.8,2665,49.6,0.79,21,11.6,0.0,186.1,22.5,19.7,16.3,2.9,2.33,27.7,9.2,2.5,19510 ,-0.06,1.1,61.8,39,49.3,90.9,,0.014,39.3,31.5,109,11.2,4.1,1.36,-0.006,,0.19,,8,91.4,19.7,,32.7,401.6,4.1,0.911,5.2,2333,2353,94.8,,,508,5.6,,1354,0.88,medium blue
Bedford,43.5,0.185,3.8,0.004,4.5,9.1,105.1,23.8,8.7,527,15.5,0.1,2.3,104.7,98,13.5,48.0,45.9,2413,2.0,5024,50.1,3.29,166,13.4,2.3,45.9,8.3,6.6,10.5,4.5,2.5,25.6,28.2,8.7,52676 ,-0.01,0.3,14.3,14,43.4,62.6,26.8,0.083,19.5,25.5,230,29.1,4.6,1.54,0.01,56,0.241,16600,10,78.6,13.9,0.039,47.9,2.2,6.6,0.944,12.6,7883,7963,87.4,78282 ,0.39,338,6.0,5.2,9842,0.48,medium blue
Belchertown,11.6,0.076,2.0,-0.088,3.4,10.0,337.2,,10.4,450,18.4,0.027,3.4,78.6,48,2.7,7.5,55.5,1546,4.8,2787,51.3,0.98,27,14.2,0.0,118.4,2,16.0,7.9,7.5,2.62,21.7,16.1,1.6,28327 ,-0.02,0.5,9.6,15,40.5,80.4,9.1,0.374,34.1,23.8,120,15.6,4.3,2.26,-0.002,106,0.118,11396,6,92.1,24.8,-0.061,37.1,103.3,37.9,0.958,9.4,4039,4158,90.6,63046 ,0.34,382,4.1,12.9,9732,1.53,light blue
Bellingham,22.0,0.172,0.6,-0.158,8.0,11.4,179.4,23.1,9.4,478.8,19.6,0.111,1.8,145.4,37,3.1,4.3,57,1369,5.4,2403,51.4,4.4,106,5.3,1.2,62.5,0,,9.5,5.5,2.65,21.4,16.5,6.8,30736 ,-0.01,0.2,21.4,15,38.4,80.5,9.6,0.087,30.7,42.9,158,20.7,6.6,2.98,0.007,,0.165,11906,7,70.4,28.3,-0.08,37.2,8.5,22.6,,5.1,3589,3710,94.9,68328 ,0.36,368,2.4,,10795,0.52,light blue
Belmont,34.0,0.417,22.6,0.032,5.3,11.9,33.6,37.6,8.8,451.7,21.3,0.18,1.6,71.9,114,18.6,73.6,53.2,1499,2.1,2464,53,6.19,152,6.2,2.8,22.3,2,2.1,64.2,9.1,2.54,24.2,32.3,7.9,65808 ,-0.13,0.2,5.7,16,41.5,41.2,28.4,-0.052,8.8,19.8,163,22.5,6.6,-0.1,0.01,116,0.157,12259,16,94.3,8.7,0.052,45.6,0.0,7.8,0.871,10.7,9964,10359,89.3,79489 ,0.51,222,3.2,7.5,17821,0.01,wicked blue
Berkley,10.9,0.026,0.0,-0.136,7.8,10.1,444.5,76.3,10,434.4,18.1,0.01,3.1,73.3,18,1.6,0.0,67.2,1621,10.5,2380,50.7,0.86,21,6.5,0.0,130.6,0,17.6,8,5.9,3.03,12.2,10.2,3.5,29488 ,0.01,0.3,10.9,16,38,106,4.7,0.167,40.4,65.4,99,9.3,4.1,3.99,0.001,116,0.206,11089,7,95.4,56.3,-0.087,35.7,10.9,30.7,0.933,9,3689,3717,91.1,,0.39,400,1.6,10.8,4424,2.15,red
Berlin,14.0,0.193,7.0,-0.181,10.5,9.8,244.2,,11,468.6,14,0.107,7.0,196.1,42,3.5,3.5,55.7,1756,5.9,3063,50.5,2.32,71,10.9,0.0,133.5,7,13.4,26.9,5,2.54,21.8,20.8,13.1,39009 ,0.01,1.4,20.9,10,46.2,89.4,7.9,0.163,34.9,35.6,228,38.2,7.4,1.12,0.004,148,0.081,16384,10,74.2,31.8,-0.067,45.3,41.7,7.1,0.859,7.3,5583,5554,92.7,,0.3,421,7.0,3.4,2103,0.68,light blue
Bernardston,9.4,0.046,0.0,-0.082,0.0,5.2,239.5,28.1,10.8,488,,0.0,14.1,114.1,31,4.7,0.0,61.1,1091,4.2,1697,50,2.1,36,5.1,0.0,157.4,9.4,9.6,30,5.3,2.39,24.3,15.4,7.9,25355 ,0.02,0.5,32.9,5,45.5,72.8,,-0.065,33.8,16.9,96,14.0,5.7,0.91,0.003,130,0.031,,7,85.8,15.0,,47.7,473.1,6.3,0.949,7.2,3480,3458,92.8,,,432,4.7,18.6,1504,0.45,medium blue
Beverly,20.8,0.239,9.1,-0.087,7.1,10.1,257.5,32.7,9.4,438.4,21,0.107,1.5,84.5,72,9.1,51.4,49.7,1025,2.2,2026,52.6,6.73,136,10.6,3.5,39.5,5.1,9.1,44.5,5.8,2.33,31.3,15.9,10.1,36185 ,-0.06,0.9,17.2,17,40.3,48.6,16.1,-0.029,18.8,25.2,157,17.4,7.8,0.37,0.007,158,0.147,12818,8,85.7,26.0,0.027,37.8,1.8,11.1,0.822,9.6,5435,5565,90.4,69535 ,0.33,288,3.5,20.7,25780,0.16,medium blue
Billerica,21.1,0.138,2.2,-0.089,8.2,11.5,134.2,30.5,9.2,445.2,20,0.076,3.5,76.5,41,4.5,8.0,48.5,1385,8.3,2733,49.6,5.85,160,8.8,1.7,61.0,2,4.8,12.8,5.5,2.79,19.7,16.5,8.7,31054 ,0.07,0.7,10.2,10,38.7,73.2,12.2,-0.039,27.2,57.3,159,18.5,5.8,2.63,0.01,115,0.129,12872,7,75.9,19.2,-0.096,37.5,2.2,16.5,0.949,5.8,4366,4468,94.2,63885 ,0.4,360,3.2,13.7,26216,0.57,light blue
Blackstone,0.0,0.258,0.0,-0.172,5.5,11.3,189.5,21.0,10.4,474.4,,0.1,3.3,67.7,50,2.2,1.1,48.8,871,4.8,1658,51.8,5.84,97,5.1,1.1,81.9,8.9,5.4,34.3,5.8,2.64,22.7,11.3,6.9,25029 ,0.04,0.1,14.4,11,41.6,68.7,,0.531,38.3,40.8,120,20.9,7.3,0.82,0.003,138,0.19,,3,78.7,26.5,,36.1,7.7,6,0.975,8.4,4081,4210,91.6,,,361,1.1,16.4,6273,0.87,red
Blandford,8.1,0.015,0.0,-0.045,0.0,4.9,608.3,,10.6,391.7,,0.0,24.3,285.5,39,,0.0,57.2,1290,8.9,2137,48.1,0.99,21,4.3,0.0,206.6,8.1,6.1,37.1,1.7,2.51,20.9,13.9,8.3,26635 ,0.02,0,8.1,,46.7,84.9,,0.286,51.1,40.7,27,,1.3,1.07,0.001,112,0.086,,12,83.7,34.1,,35.9,275.5,5,0.957,18.4,3009,3121,81.6,,,509,16.2,0,842,0.35,red
Bolton,34.7,0.082,10.2,-0.114,0.0,8.2,134.8,,9.3,458.4,,0.058,6.1,173.2,74,8.2,8.2,61.8,2371,2.0,3837,50.5,0.65,25,4.6,0.0,82.2,6.1,4.6,9.8,6.3,2.93,12.1,33.4,2.8,63258 ,-0.04,0,10.2,14,42.9,104.2,,0.32,27.8,24.0,180,30.4,4.7,4.12,0.004,95,0.167,,16,91.9,24.9,,40.6,30.5,3.2,0.977,6.5,9021,9257,93.5,,,375,24.5,20.2,3519,1.24,medium blue
Boston,29.8,0.745,11.2,,12.7,12.7,37.6,55.7,9.3,310.7,17.7,0.399,0.8,45.3,74,12.4,170.4,36.3,1334,1.5,3515,52.1,8.19,288,13.0,1.8,9.8,4.3,1.5,56.4,16.8,2.26,37.1,21.7,3.8,34410 ,-0.05,2.8,20.1,10,30.8,28.1,86.9,-0.255,5.9,35.0,437,43.8,12.4,-0.23,0.012,291,,17283,9,65.2,9.0,-0.014,24.3,0.1,16,0.867,28.2,,,71.8,83354 ,0.45,162,2.1,83.5,387040,0.74,wicked blue
Bourne,9.6,0.139,1.0,-0.131,9.1,8.6,1322.3,114.0,9.6,438.3,18.1,0.1,6.6,134,31,3.5,9.6,48.3,1110,3.0,2300,48.9,6.64,153,8.5,4.0,77.4,1.5,10.7,17.9,6,2.3,29.8,19.5,4.7,27261 ,-0.09,0.8,21.3,12,42.9,73.3,11.6,0.29,24.3,25.6,167,22.1,7.3,3.19,0.0,275,0.114,13629,10,87.6,47.3,-0.138,46.9,0.5,11.3,0.909,20.7,3550,3680,79.3,65670 ,0.3,378,7.1,38.2,13645,0.93,light blue
Boxborough,28.0,0.411,4.0,-0.066,0.0,7.6,136.1,25.7,8.6,514,19.7,0.338,10.0,43.6,68,6.0,0.0,60.7,2365,2.2,3763,48.9,3.94,148,10.6,0.0,54.3,4,2.9,6.3,7.2,2.56,25.6,28.0,0.4,57213 ,0.07,0,8,20,42.1,82.3,38.6,-0.297,14.2,23.6,260,31.8,6.9,10.38,0.011,96,0.114,15527,9,75.3,20.0,-0.169,20,5.9,9.6,0.959,3.8,9080,9022,96.2,77786 ,0.23,311,10.0,2,3582,1.31,medium blue
Boxford,42.7,0.002,6.3,-0.139,6.3,5.3,144.4,16.2,9.4,487.3,16.3,0.001,7.5,61.6,47,7.5,13.8,65.7,2146,4.5,2838,50.8,1.75,50,6.6,0.0,94.9,11.3,12.5,7.2,3.6,2.96,11.4,26.7,5.4,82523 ,0.01,0,1.3,4,44.4,95.5,5.7,0.133,18.2,31.6,135,16.2,4.8,7.6,0.008,46,0.09,13335,17,96.5,26.7,-0.171,51.1,2.5,8.7,0.888,7.4,8021,8295,92.6,71559 ,0.22,374,8.8,0,6030,0.79,light blue
Boylston,25.3,0.149,6.9,-0.137,4.6,7.1,195.2,43.5,8.9,490.7,17.4,0.082,4.6,77.8,40,2.3,11.5,58.8,1588,3.4,2689,52,2.4,65,12.2,0.0,85.1,4.6,13.7,19.3,7.3,2.56,22.8,21.4,8.5,45587 ,-0.05,0,13.8,14,44.2,82.1,8.3,-0.009,25.9,27.7,212,29.7,7.9,1.56,0.004,,0.197,13409,12,89.4,30.8,-0.003,40.1,50.3,6.3,0.862,17.2,5710,5764,82.8,72001 ,0.35,375,4.6,,3162,0.6,light blue
Braintree,47.6,0.191,3.9,-0.099,12.6,10.4,139.0,,9.1,427.2,18.5,0.122,2.0,112.2,59,12.9,27.4,56.1,1424,8.0,2497,52.8,7.89,197,7.6,4.2,30.1,0.8,2.5,28.1,7.1,2.56,27.4,15.5,11.1,33317 ,-0.01,0.5,14.5,11,40.5,56.5,20.5,-0.079,13.4,43.3,206,23.4,8.2,0.54,0.007,193,0.105,11564,12,76.4,17.8,0.037,43.9,2.2,14.5,0.905,7.4,3759,3814,92.6,63652 ,0.43,337,2.0,8.3,25124,0.2,light blue
Brewster,14.3,0.216,2.0,-0.135,4.1,6.6,591.6,60.1,11,487.2,18.9,0.178,5.1,69,274,6.1,12.2,45.6,1601,3.3,3316,53.7,5.21,173,13.5,0.0,86.8,5.1,3.5,7.3,2,2.17,30.2,26.9,2.3,28424 ,-0.07,0.1,28.5,27,53.6,65.1,12.9,0.116,19.6,16.2,195,25.3,5.9,8.95,-0.001,171,0.153,17748,20,94.2,64.3,-0.075,55.1,6.1,5.7,0.99,7.1,3352,3475,92.9,72995 ,0.04,446,10.2,15.1,8198,1.26,medium blue
Bridgewater,19.9,0.202,1.5,-0.147,10.2,8.2,155.8,,9.4,365.3,,0.115,1.9,90.8,19,4.9,6.0,57.8,896,5.1,1510,48.5,8.2,124,11.8,2.6,53.4,0.4,15.7,20.3,5.9,2.73,20.7,12.8,4.7,25458 ,0.02,0.6,13.6,10,37,82,,0.055,20.9,43.8,109,18.3,7.2,1.79,0.004,,0.191,,8,86.8,24.7,,36.8,6.4,8,0.901,15.3,4663,4781,84.7,,,297,2.3,,15787,0.87,light blue
Brimfield,5.5,0.008,5.5,-0.09,2.8,7.8,526.5,,10.2,453.3,15.1,0.0,8.3,90.6,27,,13.9,71,1572,8.3,2097,50.4,1.43,30,6.4,0.0,148.4,2.8,11.7,12.8,5,2.53,23.7,17.9,7.2,30343 ,0.08,0.8,13.9,11,41.8,96.5,3,0.191,44.9,28.0,40,,1.9,2.05,0.001,88,0.119,13626,9,88.5,24.7,-0.057,45.1,94.2,18.9,0.973,6.9,3364,3500,93.1,62653 ,0.44,449,8.3,16.5,2618,0.85,red
Brockton,5.5,0.265,0.6,-0.23,13.5,15.1,57.8,109.9,10.9,365.3,19.9,0.079,0.4,124.6,21,3.5,44.5,61.2,1639,2.0,2630,51.9,7.69,202,6.8,2.0,26.6,1.7,4.3,41.6,39.5,2.76,26.9,9.2,7.2,17476 ,-0.01,3.4,11.6,11,35.2,45.8,75.6,-0.123,11.9,76.0,179,20.8,6.8,0.49,0.005,326,0.171,12999,6,77.1,16.8,0.084,36.2,0.4,45.8,0.963,15.9,3108,3112,84.1,,0.39,222,0.4,114.3,55039,0.37,wicked blue
Brookfield,14.7,0.102,0.0,-0.184,5.9,11.5,469.0,,10.1,442.8,18.2,0.014,11.8,49.3,36,,2.9,61.9,1230,4.7,1983,50.5,0.88,17,9.0,2.9,140.3,8.8,27.0,27,7.4,2.46,25.7,11.2,6.8,23237 ,-0.17,0.3,17.7,27,43.9,83.9,7.7,0.315,43.1,37.1,96,11.7,4.8,1.16,0.003,,0.084,11386,4,93.2,26.0,0.078,45.6,150.0,26.3,0.961,12.5,3533,3562,87.5,73645 ,0.26,442,2.9,,2261,0.7,red
Brookline,28.4,0.703,18.6,,2.7,11.8,10.0,30.1,8,338.1,17.7,0.567,0.3,39,103,30.6,86.3,41.4,1364,0.4,3288,55,6.76,222,20.7,3.7,9.9,16.5,,55.4,6.7,2.27,33.4,40.3,3,58434 ,-0.23,0.2,16.2,14,35.7,24.2,42.5,-0.356,4.7,11.3,240,25.0,7.3,0.02,0.007,135,,16626,12,90.5,5.1,0.125,31.2,0.0,5.8,0.866,10.9,,,89.1,80485 ,0.56,135,3.2,13.7,40353,0.21,wicked blue
